4/27/2014 3:04:07 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') used command 'heal '
4/27/2014 3:04:18 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') used command 'heal '
4/27/2014 3:04:20 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') used command 'heal '
4/27/2014 3:04:25 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') used command 'remove '
4/27/2014 3:04:26 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') deleting 0x4000001E (CannonComponent)
###################################
Logging started on 4/27/2014 3:09:03 PM

4/27/2014 3:09:15 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') used command 'addtopack sulfurousash 50'
4/27/2014 3:09:17 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') used command 'addtopack sulfurousash 50'
4/27/2014 3:09:17 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') building at (1504, 623, -17) in Ilshenar: "sulfurousash" "50"
4/27/2014 3:09:17 PM: 127.0.0.1: Serials: 0x4000001C; 
4/27/2014 3:09:21 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') used command 'addtopack cannonball 5'
4/27/2014 3:09:24 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') building at (1504, 623, -17) in Ilshenar: "cannonball" "5"
4/27/2014 3:09:28 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') used command 'addtopack cannonball, 5'
4/27/2014 3:09:29 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') building at (1504, 623, -17) in Ilshenar: "cannonball," "5"
4/27/2014 3:09:31 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') used command 'addtopack cannonball'
4/27/2014 3:09:31 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') building at (1504, 623, -17) in Ilshenar: "cannonball"
4/27/2014 3:09:31 PM: 127.0.0.1: Serials: 0x4000001D; 
4/27/2014 3:09:34 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') used command 'dupe 5'
4/27/2014 3:09:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duping 0x4000001D (CannonBall) (inBag=False; amount=5)
4/27/2014 3:09:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x4000001D (CannonBall) creating 0x4000001E (CannonBall)
4/27/2014 3:09:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x4000001D (CannonBall) creating 0x4000001F (CannonBall)
4/27/2014 3:09:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x4000001D (CannonBall) creating 0x40000020 (CannonBall)
4/27/2014 3:09:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x4000001D (CannonBall) creating 0x40000021 (CannonBall)
4/27/2014 3:09:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x4000001D (CannonBall) creating 0x40000022 (CannonBall)
4/27/2014 3:09:58 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') used command 'add cannon west'
4/27/2014 3:09:59 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') building at (1505, 622, -18) in Ilshenar: "cannon" "west"
4/27/2014 3:09:59 PM: 127.0.0.1: Serials: 0x40000023; 
4/27/2014 3:10:05 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') used command 'setallskills 80'
4/27/2014 3:10:05 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') set property 'EverySkill.Base' of 0x1 "Test" ('admin') to '80'
4/27/2014 3:10:17 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') used command 'heal '
4/27/2014 3:10:20 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') used command 'remove '
4/27/2014 3:10:21 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') deleting 0x40000052 (Corpse)
###################################
Logging started on 4/27/2014 3:13:47 PM

4/27/2014 3:14:07 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') used command 'add cannon west'
4/27/2014 3:14:08 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') building at (1504, 621, -15) in Ilshenar: "cannon" "west"
4/27/2014 3:14:08 PM: 127.0.0.1: Serials: 0x4000001C; 
4/27/2014 3:14:14 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') used command 'addtopack cannonball'
4/27/2014 3:14:16 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') building at (1504, 622, -14) in Ilshenar: "cannonball"
4/27/2014 3:14:16 PM: 127.0.0.1: Serials: 0x40000020; 
4/27/2014 3:14:24 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') used command 'addtopack sulfurousash 50'
4/27/2014 3:14:25 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') building at (1504, 622, -14) in Ilshenar: "sulfurousash" "50"
4/27/2014 3:14:25 PM: 127.0.0.1: Serials: 0x40000021; 
4/27/2014 3:14:32 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') used command 'setallskills 90'
4/27/2014 3:14:33 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') set property 'EverySkill.Base' of 0x1 "Test" ('admin') to '90'
4/27/2014 3:14:55 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') used command 'setallskills 80'
4/27/2014 3:14:55 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') set property 'EverySkill.Base' of 0x1 "Test" ('admin') to '80'
4/27/2014 3:15:11 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') used command 'heal '
###################################
Logging started on 4/27/2014 4:30:59 PM

4/27/2014 4:33:28 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') used command 'adddoor '
4/27/2014 4:33:35 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') used command 'add xmlspawner miner'
4/27/2014 4:33:36 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') building at (1499, 619, -19) in Ilshenar: "xmlspawner" "miner"
4/27/2014 4:33:36 PM: 127.0.0.1: Serials: 0x4000001C; 
4/27/2014 4:33:38 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') used command 'Add StrongWoodDoor SouthCW'
4/27/2014 4:33:39 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') building at (1501, 619, -19) in Ilshenar: "StrongWoodDoor" "SouthCW"
4/27/2014 4:33:39 PM: 127.0.0.1: Serials: 0x40000026; 
4/27/2014 4:33:40 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') used command 'move '
4/27/2014 4:33:42 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') moving 0x8 "Bonnie" (no account) to (1499, 618, -19)
4/27/2014 4:33:44 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') used command 'tele '
4/27/2014 4:33:48 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') used command 'Add StrongWoodDoor SouthCW'
4/27/2014 4:33:49 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') building at (1505, 616, -20) in Ilshenar: "StrongWoodDoor" "SouthCW"
4/27/2014 4:33:49 PM: 127.0.0.1: Serials: 0x40000052; 
4/27/2014 4:34:16 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') used command 'add creaturecontroller'
4/27/2014 4:34:17 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') building at (1504, 618, -18) in Ilshenar: "creaturecontroller"
